Cantidad de registros por día.
Red: Red Hidrometeorológica Nacional (1).
Variable: _Temp Ambiente (12).
Mes: 2019-08

Fecha:                    01    02    03    04    05    06    07    08    09    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31
72 - Atuel en El Nihui    24    24     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
176 - Buta Ranquil         2     4     4     4     4     4     4     4     4     4     4     4     4     4     4     4     4     4     4     4     4     4     4     2     4     4     4     4     4     4     4
64 - Carrenleufu en la     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
62 - Colorado en Pichi     6     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
76 - Faro Recalada Bah     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
78 - Faro Río Negro        5    24     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    10    24    24    22    24     2
50 - Lago Argentino en     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
65 - La Paulina-Aserra     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
68 - Los Sosa en RP30      6     6     6     1     5     6     6     6     6     6     5     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6
177 - Paso de Indios       4     4     4     4     2     4     4     4     4     4     4     4     4     4     4     4     4     4     4     4     4     4     3     3     4     4     4     4     4     4     4
88 - PN El Chalten         0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
53 - Río Bermejo en Po     0     0     0     0     6    23    24    23    22    24    24    24    23    24    24    24    24    23    23    23    23    24    24    24    24    24    24    24    24    24    24
240 - Río CHubut - El      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
57 - Río Chubut en los     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
71 - Rio Guayquiraró e    22    21    22    24    21     8     0    23    24    23    23    22    22    22    24    23    23    23    23    24    22    24    23    22    24    22    22    23    22    22    22
70 - Río Lules en Potr     3     4     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
63 - Río Mayo - Paso R     0     0     0     4     0     0     3     6     6     6     6     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
89 - Río Mendoza en Gu     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
55 - Río Neuquén en Ch     0     5     5     6     1     2     0     5     5     2     1     3     3     0     1     0     2     3     0     1     1     2     0     3     1     2     3     0     5     1     0
74 - Río Senguer en Sa     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    96    96    96    96    96    96     2     0    95     6    24    24
163 - Río Tunuyan en V     0     2     0     0     0     0     0     0     0     1     0     1     0     0     0     0     0     0     1     1     0     0     1     0     0     0     0     0     0     0     0
75 - Río Uspallata - U     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
73 - Tupungato en Punt     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
